Jahr;Monat/Jahresdurchschnitt;Luftdruck (mittl. Wert auf NN reduziert) hPa;Luftdruck (langjähriger Durchschnitt) hPa;Lufttemperatur (Mittelwert) oC;Lufttemperatur (langjähriger Durchschnitt) oC;Lufttemperatur (Höchstwert) oC;Tagesdatum des Höchstwertes (der Lufttemperatur);Lufttemperatur (Tiefstwert) oC;Tagesdatum des Tiefstwertes (der Lufttemperatur);Sommertage (max. 25 oC bis unter 30 oC);Heiße Tage (max. 30 oC und mehr);Frosttage (min. unter 0 oC);Eistage (max. unter 0 oC);Sonnenscheindauer h;Sonnenscheindauer (langjähriger Durchschnitt) h;Luftfeuchtigkeit (relative Feuchte) %;Luftfeuchtigkeit (relative Feuchte, langjähriger Durchschnitt)  %;Niederschläge  mm;Niederschläge (langjähriger Durchschnitt) mm;Niederschläge (Höchstwert in 24 Std.) mm;Tagesdatum des Höchstwertes (der Niederschläge);Tage mit Regen;Tage mit Schneefall;Tage mit Regen und Schneefall;Tage mit einer Schneedecke (mind. 50% des Bodens schneebedeckt);Tage mit Hagel/Graupel;Tage mit Nebel;Tage mit Gewitter
2000;November;1012;1018;9;6;17;;2;;0;0;0;0;76;69;70;80;83;73;16;;25;0;0;0;1;1;0
2000;Dezember;1014;1019;7;3;17;;-2;;0;0;4;0;55;53;73;81;34;66;11;;19;1;3;1;0;5;0
2000;Jahresdurchschnitt;1017;1017;13;11;34;;-9;;66;19;19;2;1823;1740;68;73;894;955;48;;230;4;20;3;8;17;37
2001;Januar;1015;1019;5;2;16;;-5;;0;0;10;0;85;52;73;81;60;60;13;;1;1;6;0;1;4;0
2001;Februar;1020;1017;6;3;20;;-5;;0;0;7;0;99;82;69;77;39;54;15;;0;5;2;0;1;3;0
2001;März;1008;1016;9;7;19;;0;;0;0;1;0;64;123;75;70;158;64;22;;5;3;0;2;2;6;2
2001;April;1015;1014;9;10;23;;0;;0;0;1;0;114;159;68;66;114;81;16;;1;1;5;0;2;1;2
2001;Mai;1016;1015;18;14;30;;7;;13;0;0;0;254;198;62;67;99;106;24;;11;0;0;0;0;0;5
2001;Juni;1018;1016;17;18;32;;7;;8;2;0;0;240;223;63;66;160;117;56;;18;0;0;0;1;1;5
2001;Juli;1015;1017;21;20;32;;12;;17;8;0;0;275;252;61;65;112;96;25;;17;0;0;0;1;0;10
2001;August;1017;1016;22;19;35;;12;;22;9;0;0;258;228;61;68;52;102;23;;18;0;0;0;0;0;6
2001;September;1016;1018;14;16;26;;6;;1;0;0;0;135;179;74;72;135;71;21;;27;0;0;0;1;2;1
2001;Oktober;1020;1018;15;11;27;;9;;0;0;0;0;174;122;75;79;79;66;25;;15;0;0;0;0;4;0
2001;November;1024;1018;4;6;14;;-4;;0;0;9;0;98;69;80;80;97;73;22;;13;2;3;0;2;6;0
2001;Dezember;1025;1019;2;3;13;;-10;;0;0;21;3;94;53;75;81;20;66;8;;7;8;5;0;1;2;0
2001;Jahresdurchschnitt;1017;1017;12;11;35;;-10;;61;19;49;3;1890;1740;70;73;1125;955;56;;133;20;21;2;12;29;31
2002;Januar;1028;1019;2;2;15;;-9;;0;0;16;10;81;52;77;81;19;60;7;;10;11;1;10;0;9;0
2002;Februar;1018;1017;8;3;19;;-3;;0;0;4;0;59;82;69;77;66;54;16;;18;0;3;1;2;0;2
2002;März;1019;1016;9;7;21;;-2;;0;0;3;0;175;123;63;70;48;64;23;;18;0;0;0;0;4;0
2002;April;1015;1014;11;10;24;;1;;0;0;0;0;191;159;58;66;69;81;19;;16;0;0;0;1;1;1
2002;Mai;1015;1015;15;14;31;;5;;4;1;0;0;185;198;67;67;155;106;36;;19;0;0;0;0;2;1
2002;Juni;1016;1016;21;18;36;;11;;18;7;0;0;268;223;61;66;121;117;40;;17;0;0;0;0;0;7
2002;Juli;1015;1017;20;20;32;;12;;15;4;0;0;218;252;65;65;102;96;25;;19;0;0;0;0;0;4
2002;August;1015;1016;20;19;32;;13;;15;1;0;0;195;228;72;68;98;102;34;;21;0;0;0;0;1;5
2002;September;1018;1018;15;16;27;;5;;3;0;0;0;152;179;73;72;87;71;17;;19;0;0;0;0;1;3
2002;Oktober;1015;1018;12;11;23;;3;;0;0;0;0;91;122;76;79;110;66;22;;24;0;0;0;1;4;1
2002;November;1012;1018;9;6;16;;4;;0;0;0;0;41;69;83;80;199;73;33;;28;0;0;0;0;9;0
2002;Dezember;1018;1019;6;3;14;;-4;;0;0;9;1;33;53;81;81;62;66;14;;22;0;0;0;0;2;0
2002;Jahresdurchschnitt;1017;1017;12;11;36;;-9;;55;13;32;11;1690;1740;70;73;1135;955;40;;231;11;4;11;4;33;24
2003;Januar;1019;1019;2;2;13;;-10;;0;0;15;8;55;52;78;81;66;60;13;;17;8;3;11;2;0;0
2003;Februar;1022;1017;1;3;15;;-9;;0;0;22;3;139;82;69;77;20;54;7;;3;7;2;3;0;1;0
2003;März;1024;1016;10;7;21;;0;;0;0;1;0;217;123;52;70;41;64;15;;11;0;0;0;0;0;0
2003;April;1016;1014;12;10;27;;-1;;4;0;2;0;210;159;54;66;57;81;19;;17;2;0;1;4;0;3
2003;Mai;1019;1015;17;14;29;;6;;10;0;0;0;163;198;67;67;90;106;29;;22;0;0;0;4;0;11
2003;Juni;1016;1016;24;18;37;;14;;30;19;0;0;309;223;57;66;27;117;9;;21;0;0;0;0;0;11
2003;Juli;1016;1017;23;20;38;;14;;25;11;0;0;272;252;55;65;53;96;15;;14;0;0;0;0;0;8
